english	urdu
waver	ڈگمگانا ہچکچانا تردد کرنا
wavery	متزلزل
wave	لہرانا ہلکورا لہر موج
wavy	موج دار متموج
wax	موم موم لگانا بڑھنا غصہ تاؤ
wayfarer	مسافر پنتھی راہ رو
waylay	چھاپا مارنے کے لئے چھپا رہنا
wayless	بے راہ
wayside	سر راہ
ways	رنگ ڈھنگ
waywardness	آوارگی البیلا پن خود سری
wayward	آوارہ البیلا بھٹکا ہوا غیر مطیع خود سر
way	انداز ڈھب ڈھنگ گذر گاہ جادہ نہج قرینہ راہ راستہ روش سبیل شکل طرف طرح طریقہ طرز طور وسیلہ ذریعہ
wayworn	خستہ
weaken	کم زور کرنا چہرا اترنا کمزور ہونا
weaker sex	صنف نازک
weakest	کم زور ترین
weak kneed	بے ارادہ بزدل
weakling	کم زور ناتواں ضعیف
weak minded	کم ذہن سبک مغز
weaknesses	اسقام
weakness	جھول جھال کم زوری خامی نقاہت ناتوانی نقص ضعف
weak	عاجز بے بس بے طاقت فاتر کچا کم زور مردہ ناتواں پھس پھسا پلپلا زار ضعیف
wealth	امارت دولت غنا مالیت مایہ پیسہ ثروت تمول وافرت زر
wealthy	امیر دولت مند مالدار متمول ثروت مند
weal	آسائش فلاح و بہبود خیر خوش حالی سعادت سلامت سرفوت
wean	دودھ چھڑانا
weaponry	اسلحہ سازی
weapon	ہتھیار صلاح مسلح کرنا
wear and tear	فرسودگی توڑ پھوڑ
wear away	پرانا کر دینا
wear down	تھکا دینا
wearied	اچاٹ
weariful	خستہ حال مشکل تھکا ہوا
weariless	بے تکان
weariness	بے زاری کسل مندی خستگی تھکن
wearing	گراں شاق
wearisome	اجیرن مشکل
wear off	گھس جانا
wear out	گھسا دینا تھک دینا
wear	اوڑھنا پہننا زیب تن پوشاک
weary	بے دم بے زار کسل خستہ حال ماندہ تھکا
weasand	گلا حلق نرخرہ
weasel	نیولا مکر آدمی دھوکا باز ہونا
weasel words	مبہم زبان
weather beaten	دھوپ سے خراب جہاں دیدہ تجربہ کار توفن زدہ
weather cock	باد نما
weathered	بے رنگ پکا پختہ
weather	آب و ہوا فصل موسم رت برداشت کرنا مقابلہ کرنا
weaved	بنا ہوا
weaver bird	بیا مرغ جلا
weaver	جلاہا پارچہ باف
weave	بننا کپڑے بننا
web	بافت جال جالا جھلی
wedding	بیاہ شادی
wedge	پچ چر
wedlock	بیاہ نکاہ شادی
Wednesday	بدھ چہار شنبہ
wed	عقد کرنا بیاہنا نکاہ کرنا شادی کرنا
weed out	خرابی دور کہنا
weed	بد رو گھاس بد رو پودا ناکارہ شخص لباس پوشاک
weedy	مریل
wee hours	تڑکے
weekend	آخر ہفتہ
weeklong	ہفتہ بھر
weekly	ہفت روزہ ہفتہ وار
week	ہفتہ
ween	فرض کرنا راہ تکنا تصور کرنا امید کرنا
weeny	بہت چھوٹا ذرا سا
weeping	گریاں نالن رقت واویلا زار گریہ نالہ واویلا
Weeping Willow	بید مجنون
weep	آنسو بہانا چلانا گریا زاری کرنا رونا
weepy	بسورتا ہوا روتا ہوا
weevil	گھن
wee	نام کا ذرا سا
wee wee	پیشاب کرنا
weigh against	موازنہ کرنا
weigh down	دبانا دباؤ ڈالنا
weighed	تلا ہوا
weighing	تول
weigh in	رائے دینا
weightless	بلا وزن
weight	بوجھ بار باٹ داب دھڑا لحاظ پلا سنگ ثقالت وزن
weighty	بھاری گراں متین مہم سنجیدہ ثقیل وزنی
weigh up	جانچنا پرکھنا
weigh	تولنا وزن کرنا وزن رکھنا
weirdly	انوکھے پن سے عجب طرح سے پراسرار
weirdo	عجیب آدمی
weird	عجیب و غریب غیر طبعی
weir	بند خاک ریز پشتہ
welcome	خوش آمدید استقبال خیر مقدم آؤ بھگت کرنا خوش آمدید کرنا استقبال کرنا پزیرائ کرنا
welder	جوش کار
weld	دو دھات جوڑنا جوش کاری کرنا ٹانکا لگانا
welfare	فلاح و بہبود خیر خیر و عافیت خوش حالی رفاہ سلامت
welfare work	فلاحی کام
welkin	آفاق آسمان
well administered	منظم
well advised	با تدبیر محتاط
well appointed	دولت مند خوش حال
wellaway!	افسوس
well balanced	درست متوازن
well behaved	تمیز دار
well being	عافیت بہبود فلاح خیر خوشی صلاح سلامتی
well beloved	با عزت پیارا
wellborn	اچھے خاندان کا
well bred	مہذب شائستہ
well built	دوہرا ہٹا کٹا تگڑا
well chosen	احتیاط سے چنا ہوا
well connected	رسوخ والا
well disposed	ہمدرد مہربان
well done!	آفرین صد آفرین
well dressed	خوش لباس
well earned	محنت کا
well endowed	بڑھیا دولت مند
well equipped	آراستہ پیراستہ
well established	مانا ہوا
well favoured	خوبصورت
well fed	ہٹا کٹا
well formed	خوش اندام
well groomed	خوش لباس صاف ستھرا
well grounded	مدلل
wellhead	چشمہ
well heeled	دولت مند پیسے والا
well informed	با خبر
well known	مشہور نامی شہرت یافتہ طشت از بام
well manneredness	خوش اخلاقی
well mannered	خوش اخلاق لائق نستعلیق
wellness	خوبی تندرستی
well nigh	تقریباً
well organised	منظم
well read	لائق
well set	جامد
wellspring	منبع سرچشمہ
well strung	جکڑ بند
well to do	خوش حال
well up	جوش پر آنا
well watered	سیراب
well	چاہ کواں پن گھٹ درست خوب اچھا بھالا موافق ٹھیک
well wisher	خیر اندیش
welsh	دغا دینا دھوکہ دینا
welter	خلت ملت ہونا لتھڑنا
welt	چمڑے کی پٹی نواڑ مرجھانا سوکھنا
wench	بچی چھوکری دوشیزہ فاحشہ لڑکی نوکرانی
wend	پلٹنا رستہ بدلنا
went	گیا گئے گئ گئن راہ رستہ سفر
wen	غدود جلد کے نیچے ورم
wept	رویا
were	تھے
werewolf	آدمی جو بھیڑیا بن جائے
wergild	خون بہا
wersh	کڑوا کھٹا پھیکا
weskit	صدری
westbound	عازم مغرب
westerly	باد غربی غربی
westerner	گورا فرنگی مغربی ملک کا ولیتی
westernisation	مغرب کی پیروی مغرب زدگی
westernise	فرنگی اطوار اپنانا مغرب زدہ ہوجانا مغربی اطوار اپنانا
westernism	مغربی اطوار
western	غربی فرنگی مغربی پچھمی
wester	باد مغرب
westward	مغرب کی طرف
west	باخطر مغرب سرزمین مغرب
wet dream	احتلام
wether	خصی بھیڑا
wetland	دلدل
wetness	گیلاہٹ نمناکی رطوبت تری
wet nurse	آیا
wetted	بھیگایا تر
wetter	گیلا کرنے والا
wettish	گیلا نم مرطوب تر
wet	آبی بھیگا گیلا مرطوب نم نمناک شرابور تر
we	ہم ہم لوگ
whacking	بہت بڑا جسیم
whack	ہتڑ لگانا پیٹنا
whacky	آوارہ گمراہ خبطی پاگل سنکی سودائ
whale	فیل ماہی
whammy	بد نظر نحوست
wham	زور کی چوٹ زور سے چوٹ لگانا
whang	دھکم پیل کرنا پٹائ کرنا گھونسا ضرب
wharf	بندر گودی
wharve	چرخی
what all	ویسا ہی
whatever	جو بھی کچھ بھی
what not	الا بلا کیا کیا
whatsoever	جو کوئ نہیں
what sort of?	کیسا
what	جو کہ
what?	کون کون سا کن کس کیا
wheat	گندم گیہون
wheedle	چاپلوسی کرنا خوشامد کرنا پھسلانا ورغلانا
wheedling	چاپلوسی خوشامد
wheel and deal	سودے بازی کرنا
wheelcart	چکڑا رہڑی
wheel of fortune	نشیب و فراز
wheel	چکر چرخ دلاب پہیہ پھرانا
wheeze	دم پھولنا زور زور سے سانس لینا
whelk	دانہ پھنسی
whelp	بچا پلا
whence	کہاں کہاں کس جگہ سے کس سبب سے کس طرح سے
whenever	جب بھی جب کبھی
when	جب
when?	کب
whereabouts	اتا پتہ مکان
whereabout?	کہاں
whereas	چونکہ در حقت حالانکہ ہرگاہ جب کہ
whereat	جہاں سے
whereby	بموجب جس سے
wherefore	وجہ اس لئے کس لئے
wherefrom	کہاں سے
wherein	کیسے کہاں کب
whereof	کون سا
whereon	جہاں
wheresoever	جدھر
whereto?	کہاں کدھر
whereupon	کس پر تب
wherever	جب بھی جہاں بھی جدھر کہیں بھی
where	جہاں جدھر
where?	کہاں کدھر
wherewithal	ضروری رقم
wherewith	جس سے
whether	آیا خواہ
whetstone	پتھری
whet	برانگیختہ کرنا اشتہا بڑھانا رگڑ کر تیز کرنا
whew!	ارے اف
whey	چھاچھ مٹھا
whichever	جو بھی
which so ever	جون سا بھی
which	جون سا جوکہ
which?	کن کس کون سا
whiff	بھپکا بھپکی
whiffy	بد بو دار
whig	لسی مٹھا
while away	اچھا وقت گزارنا
while	عرصہ در ایں اثنا حالانکہ جب کہ معاد مدت
whilom	ایک دفع سابقاً
whilst	وجب جب تک
whimper	نالہ کرنا سسکنا
whimsical	دو دلا تلون مزاج وہمی
whimsy	دھن خبط خیال ترنگ وہم
whim	دھن خام خیالی خبط خیال ترنگ وہم
whim wham	عجیب چیز
whine	فریاد کرنا کراہنا سسک سسک کر رونا
whinge	فریاد کرنا کراہنا سسک سسک کر رونا
whining	فریاد سسکی
whinny	ہنہنانا
whipping boy	قربانی کا بکرا
whipping	ہار کٹائ پٹائ
whip round	چندا
whip up	جوش دلانا
whip	چابک درہ کوڑا سونٹا تازیانہ
whirligig	فر فرا پھرکی
whirlpool	بھنور گرداب ورتہ
whirl	چکر پھیرا پھرانا پھرنا تیزی سے گھومنا
whirlwind	بگلا چکر گردباد
whir	گھر گھر کی آواز
whish	ذٹ سے جانا
whiskers	گل مچھے
whisk	بڑی تیز رفتاری سے حرکت کرنا
whispering	کانا پھوسی کھسر پھسر پھسر پھسر
whisper	کھس پھس کان میں کھس پھسی کرنا کانا باتی کرنا کھسر پھسر کرنا سرگوشی کرنا
whispery	سرگوشی سے مشابہ
whistler	سیٹی بجانے والا
whistle	سیٹی بجانا سیٹی
white ant	دیمک
white book	قرطاس ابیض
white collar	سفید پوش
white elephant	سفید ہاتھی
whitehead	دانا مہاسا
white heat	شدید جوش
white hot	شدید گرمی شدید پر جوشی
white knight	نجات دہندہ
white lie	سفید جھوٹ
white list	پکی فہرست
whitely	فق چہرہ
whiteness	گورا پن سفیدی اجلا پن
whiten	اجلانا پھیکا پڑنا رنگ اڑ جانا
white out	غلطی چھپانا
white paper	قرطاس ابیض
white supremacy	نسل پرستی
whitewash	غلطی پر پردہ ڈالنا پوتنا پتائ کرنا قلعی کرنا سفیدی کرنا پتائ قلعی سفیدی
white	ابیض بیضا چٹا چٹی گورا گوری سفید اجلا اجلی
whithersever	کہیں بھی
whitherward	کہاں کدھر
whither	جہاں جدھر
whither?	کہاں کدھر
whitish	سفیدی مائل اجلا
whitlow	چھلوری
whittle	چاقو سے تراشنا آہستہ آہستہ گھٹنا بڑا چاقو
whit	چھوٹا ترین ٹکڑا ذرا سا
whodunit	بھید راز
whoever	جو بھی جو بھی
wholeheartedly	فراغ دلی سے پرجوشی سے
wholehearted	بھر پور فراغ دل پرجوش
wholemeal	چوکر ملا کھانا
wholesale	تھوک
wholesomeness	بھر پوری
wholesome	بھر پور سلیم صحت مند
whole	بھر کامل مسلم پورا ثابت سالم سارا ساری سب
wholly	بالکل مکمل طور پر سر بسر سراسر
whomever	جو بھی
whomp	ہرانا پیٹنا
whom	کن کو کس کو کسے
whooping cough	کالی کھانسی
whopper	بڑی چیز بڑا جھوٹ
whopping	بہت بڑا
whop	ہرانا پیٹنا ٹھکائ کرنا
whoredom	فاحشگی فجور زانویہ پن
whorehouse	چکلہ کوٹھا قحبہ خانہ طوائف خانہ
whore	بیسوا فاحشہ فاجرہ قحبہ زانویہ فاحشہ بازی کرنا
whorled	پیچ دار
whorl	ایک پیچ دار چیز
whose	جس کا
whose?	کن کا کس کا کس کے کس کی
whosoever	جو بھی کوئ بھی
who	جو کہ
who?	کون کن کس
whup	ہرانا
why not?	کین نہیں
why?	کین
wickedly	بدمعاشی سے فتنے سے خباثت سے شرارت سے
wickedness	بدمعاشی فساد فسق و فجور فتنہ فجور گمراہی گناہ گاری خباثت خرابی پاکھنڈ شرارت
wicked	بد بد کار بدمعاش فاسق فتنہ گر گمراہ گناہگار حرام خراب ناخلف شیطانی شر سیاہ کار تیڑھا تیڑھی ظالم
wicker	بید ڈالی سرکی
wicket	چھوٹا دروازہ پھاٹک سے ملحق چھوٹا دروازہ
wick	بتی فتیلہ
widdle	پیشاب کرنا
wide awake	چوکننا ہوشیار جاگا ہوا
wide boy	بے ایمان دھوکے باز گھاگ
wide eyed	حیران حیرت زدہ متعجب
widely	عموماً
