اتھاہ	bottomless unfathomable deep
مالیات	economic revenue finance economy tax
مالیاتی	financial
مالیانہ	cess duty tax
مالیت	worth wealth value price possession
مالیدہ	anoint rub
مام	resource power mean
ماما	maidservant mother
مامتا	motherliness
مامن	cure immunity protection
مامناف	midwife
مامُور	command commission appoint
مامُوریّت	commission
مامُول	hope expectation
مامُون	secure safe immune
مان	arrogance haughtiness hospitality pride regard conceit respect coquetry blandishment accept vanity faith honour admit
ماں	origin source mother ma root base mummy
مانا	agree accept resemble equal similar suppose like
مانج	matter serum pus
مانجنا	polish furbish scour rub clean
مانجھا	charpoy
مانجھی	manjee boatman
ماند	tired dull lair fatigued dunghill faint den unwell fade dim
ماندگی	illness fatigue indisposition weariness
ماندہ	tired ail fatigued leave remain weary indispose
مانڈ	paste rice starch
مانڈا	cataract film speck
مانڈنا	commit crush resolve rub write institute thresh flatten knead excite make draw
مانس	man mental spiritual
مانع	barrier forbid impediment bar prohibition obstacle hindrance preventive
مانعیّت	hindrance prohibition
مانک	ruby quartz jewel
مانگ	demand want husband betrothal request
مانگنا	solicit beg crave pray borrow
مانگے	demand borrow
مانمت	tumult ado stir row rumpus
ماننا	approve believe observe vow mind heed allow agree respect promise obey suppose assume confess admit consent own accept acknowledge
مانِند	like resemble
مانُو	man
مانو	suppose
مانوس	friend associate companion attach well friendly intimate
مانی	admit accept governess nurse mani maidservant socket
ماوا	habitation origin source substance dwell ferment abode leaven
ماورا	besides except save
ماورائی	transcendental
ماہ	month moon
ماہانہ	monthly
ماہتاب	moon moonlight
ماہتابی	shaddock
ماہِر	expert skilful adept skilled well
ماہواری	mense period monthly menstruation
ماہی	beloved fish lunar monthly
ماہیا	beloved
ماہیّت	essence nature
ماء	water lustre juice liquid
مائِدہ	diet victual
مائِع	liquid
مائِل	partial fond bent will
ماؤُف	numb
مائی	mother mai aqueous
مایا	mirage pity soul compassion wealth spirit prosperity mercy world wisdom universe delusion nature kindness illusion rich miracle
مایوس	disappoint despondent
مایوسی	hopelessness disappointment despair
مایہ	essence quantity wealth fund capital
مآب	seat repository have receptacle
مآثِر	etc
مآثِم	wrongdoing sin
مآرب	necessity
مآل	result end consequence termination
مُباح	allow permissible lawful proper
مُباحِثہ	reasoning debate discussion argument
مُبادِر	hasty
مُبادَرت	outstrip courage expedition boldness
مُبادلہ	exchange barter interchange
مبادی	fundamental beginning origin
مُبادی	pioneer initiator
مبادیات	etc science
مُباذرت	squander
مُبار	sausage pudding
مُبارِز	warrior challenger fighter
مُبارزت	challenge fight war
مُبارک	august congratulation lucky bless propitious happy auspicious
مُباشرت	copulation
مُبالغہ	hyperbole exaggeration
مبانی	foundation basis matter building house affair
مُباہات	arrogance boast pride honour glory
مُباہی	glorious proud exalted
مُبتدا	commencement begin
مُبتدِع	heretic
مُبتدی	novice beginner
مُبتذل	hackneyed trite banal contemptible base vulgar
مُبتسم	smile
مُبتلا	suffer entangle involve affect
مُبتہج	exultant joyful
مبحث	topic
مُبخّر	fumigate vaporous perfumed
مبدا	begin fountainhead origin source
مُبدِع	producer inventor originator
مُبدّل	substitute change alter exchange
مُبذّر	prodigal spendthrift wasteful extravagant
مبذُول	lavish spend bestow divert expend confer
مُبرّا	innocent absolve exonerate guiltless
مُبرّد	cool
مُبرِّد	refrigerant coolant cool
مبرز	lavatory latrine anus
مُبرم	firm establish inevitable unavoidable strong definitely
مبرُور	pure choose
مُبرہن	manifest evident authentic prove
مبسوط	detailed explanatory expand dilated spacious stretch elucidative
مُبصِر	manifest clear
مُبصّر	perspicuous conspicuous clear
مُبصِّر	penetrate perspicacious clear commentator discern observer reviewer
مُبطل	cancel annul nullify abolish annihilate
مُبطِل	nullify abolisher annul falsify abolish annuller
مبعُوث	exalted
مبغُوض	hat odious detest
مُبلِغ	quantity
مُبلِّغ	missionary
مبنیٰ	foundation origin base
مبنی	foundation
مُبہم	ambiguous dubious hide indistinct equivocal doubtful
مبہُوت	nonplussed dumb astonish confound stupefy
مبہُور	pant
مُبہّی	aphrodisiac
مبیع	sell purchase
مُبین	manifest evident clear
مُبیّن	illustrate declare explain
مُبیّنہ	state declare allege
مپت	measure
مت	belief reverence respect wit sect faith do intelligence counsel religion sense manner judgement creed understand system method mode advice wisdom way
مُتابعت	submission obedience
مُتاخّر	follow
مُتادّب	well civil
مُتادّی	perform messenger performer ready
مُتاذّی	annoyed injure vex grieve molest
مُتاسِّف	repentant sorry regretful grieve
مُتاسِّفانہ	regretfully
متاع	asset property possession
مُتالّف	associate familiar intimate conjoined
مُتالّم	afflict pain grieve
مُتامّل	hesitant thoughtful indecisive reluctant
متانت	firmness earnestness stability gravity seriousness
مُتبادل	alternate interchange alternative
مُتبائِن	contrary unmatched
متبّحر	erudite
مُتبدّل	change alter
مُتبرّک	sacred holy bless venerable heavenly
مُتبسّم	bloom smile
مُتّبع	follower disciple
متبُوع	chief
مُتجاذِب	absorb alluring
مُتجانس	homogeneous
مُتجاوز	overstep transgress overshoot
مُتجسّس	curious inquisitive
مُتجلّیٰ	illuminated bright splendid
مُتحارب	fight
مُتحجّر	fossil petrify stony
مُتّحِد	united ally combine undivided integrate
مُتحرِّق	burn inflame
مُتحرِّک	move movable
مُتحضِّر	urban
مُتحقّق	establish true prove verify certain
متحقِّق	verifier
مُتحمِّل	tolerant endure forbear patient
مُتحیِّر	astonish confound amazed
مُتخاصِم	contend
مُتخاصِمین	contender
مُتخالف	opposite
مُتخصِّص	specialist
مُتخلخل	pulpy empty hollow soft
مُتخلِّل	interfere interrupt
مُتخیّل	fancy imagine fanciful
مُتداخِل	insert dovetail include
مُتداول	current common prevail
مُتدیِّن	upright honest devout religious orthodox
مُتذبذب	hesitant vacillate waver
مُتذکِّرہ	mention
مِتر	fellow sun friend companion
مُترادِف	synonymous synonym
مُتراکِم	gather accumulate
مِترتا	company friendship
مُترتِّب	classify arrange
مُترجِم	interpreter translator
مُترحّم	kind merciful pitiful
مُتردِّد	worry perplexed waver anxious
مُترشِّح	obvious drip evident
مُترصِّد	vigilant expect
مُترضّی	satisfy
مُترقِّب	contemplate expect
مُترقّبہ	await expect
مُترنِّم	melodious
متروک	reject leave abolish forsake relinquish obsolete
مُتزایِد	augment increase multiply
مُتزلزل	shaky totter shake
مُتساوی	equal parallel
مُتّسِع	large broad wide diffuse widespread
مُتسلسل	continue continual
مُتسلِّط	grasp
مُتسلّی	sympathize comfort satisfied
مُتشابہ	doubtful similar ambiguous resemble
مُتشدِّد	strict rigorous violent
مُتشدِّدانہ	strict strictly violently violent
مُتشرِّع	religious pious orthodox
مُتشّکِک	sceptic sceptical cynical doubtful
مُتشکِّل	form resemble similar alike transform
مُتشکّی	doubt complain pain lament querulous sceptical afflict
مُتصادِم	collide contradictory contrary clash
مُتصدِّع	plague trouble
مُتصدّی	dare mutsuddy clerk scribe oppose accountant secretary
مُتصرِّف	embezzle possess occupy extravagant
مُتّصِل	continual successive adjoin adjacent touch abut contiguous
مُتصّور	conceive imagine consider
مُتضاد	opposite inconsistent contrary contradictory
مُتضرِّب	uneasy beat agitated
مُتضمِّن	comprise contain inclusive sponsor bondsman
مُتطابق	suited
مُتظلِّم	complainant aggrieved oppress plaintiff
مُتعارِض	etc clash
مُتعاقِب	successive subsequent follow afterwards successor pursue
مُتعاقِد	league
مُتعال	high exalted great sublime lofty
مُتعامِل	reactive reagent
مُتعاہِد	confederate contractor covenant
مُتعبِّد	religious obstinate pious devout
مُتعجِّب	wonderstruck astonish surprised amazed
مُتعدِّد	numerous many several
مُتعدّی	scoundrel infectious
مُتعذِّر	apologist difficult apologetic excusable
مُتعرِّض	hinderer resist oppose opposer
مُتعسِّر	difficult intricate complicated
مُتعصّب	prejudiced biased bigoted partisan bigot
مُتعفِّن	fetid reeky stink
مُتعلِّق	appropriate concern subjoin relate annex subordinate dependent relevant akin
مُتعلِّقین	relative child family dependent friend
مُتعلِّم	student disciple scholar
مُتعَہ	muta
مُتعہّد	contractor contemporary
مُتعیّن	appoint decide depute assign fix certain
مُتغائِر	separate unmatched stranger
مُتغلِّب	overpower powerful dominant
مُتغّیر	change alter
متغیِّر	angry worry vary change variant
مُتغیِّظ	angry enrage inflame offend
مُتفاوِت	distinct diverse different separate
مُتفحِّص	seek search ask researcher enquire
مُتفرِّد	odd matchless alone unique one
مُتفرِّق	various scatter distinct disperse separate miscellaneous sundry
مُتفرِّقات	sundrie
مُتّفِق	agree consent united unanimous
مُتفکِّر	thoughtful anxious pensive perplexed concern
مُتفنّی	crafty vicious maleficent mischievous cunne
مُتقابِل	competitor opposite
مُتقارِب	convergent proximate
مُتقاضی	demand
مُتقاطِع	intersect cut
مُتقدِّم	ancient well anterior superior precede
مُتقرِّب	near approach
مُتقرِّر	establish settle fix
مُتقشِّف	ascetical
مُتّقی	god pious devout
مُتّکا	support shelter
مُتکافی	equal reciprocal
مُتکبِّر	proud haughty arrogant
مُتکبِّرانہ	arrogantly proudly haughtily
مُتکفِّل	undertaking support provide
مُتکلِّم	orator dialectician speaker
مُتکی	recline recumbent trust
مُتلازِم	inseparable indispensable compulsory
مُتلاشی	seeker inquirer searcher
مُتلاطِم	disturb restless etc
متلاہٹ	nausea
مُتلذِّذ	enjoy relish
مُتلِف	consume consumer ruiner destroy prodigal ruin destroyer
متلُو	recite read
مُتلوِّن	capricious changeable change fickle whimsical
متلی	nausea
مُتماثِل	identical similar
مُتمادی	etc continue
مُتماس	contiguous
مُتمتِّع	gain profit
مُتمثِّل	imitator like resemble
مُتمدِّن	civilized refine urbane
مُتمرِّد	rebellious stubborn refractory disobedient
مُتمکِّن	resident
مُتملِّق	fawner flatterer
مُتمِّم	perfecter finisher complement
متمنیّ	optative desirous wish
مُتموِّج	billow wavy
مُتموِّل	wealthy rich affluent
مُتمیِّز	distinct discriminate distinguish
متن	etc
مُتنا	bed
مُتنازع	controversial dispute litigious contest
مُتناسِب	proportionate
مُتنافِر	disgust hat
مُتناقِص	defective imperfect
مُتناقِض	inconsistent contrary contradictory opposite incompatible
مُتناہی	terminate finite limited
مُتنبِّہ	cautious caution aware circumspect warn wakeful
مُتنجمّ	astrologer
مُتنجن	meat
مُتنفِّر	averse disgust hat detest abhor
مُتنفِّس	breathe
مُتنوِّع	diversified varietal various varied
متنی	textual
مُتواتر	repeatedly successively continually
مُتوارِد	successive repeat
مُتوازِن	balanced
مُتوازی	parallel
مُتواضِع	entertain hospitable condescend obedient submissive complaisant humble
متوالا	intoxicate drunk
مُتوالی	successive consecutive recur
مُتوجِّہ	attentive
مُتوحِّش	terrify agitated
مُتورِّع	god pious devout
مُتورِّم	swollen inflame tumid intumescent
مُتوسِّط	mean middling average mediocre intermediate moderate medium
مُتوسِّل	conjoined adjoin
مُتوصِّل	join connect united relate
مُتوطِّن	reside live inhabitant naturalize native inhabit
مُتوفِّر	many much abundant copious numerous plentiful
مُتوفِّق	successful prosperous
مُتوفّیٰ	deceased
مُتوقّع	expect
مُتوقِّع	hopeful expect
مُتوقِّف	delay linger slow dilatory
